code,name,entry_date,rank_t,rank_t1,rank_t2,amount_t,amount_t1,amount_t2,prev_close,trigger_high,trigger_low,buy_price,buy_exec,buy_shares,buy_cost,cash_after_buy,exit_date,exit_reason,hold_days,sell_price,sell_exec,sell_proceed,cash_after_sell,gross_pnl,net_pnl,net_pnl_pct
601008,连云港,2025-05-19,5,4,4.00,15.76,24.52,7.29,7.45,8.20,7.40,7.60,7.60,2600,19772.28,94339.46,2025-05-20,sell_drop7,2,7.38,7.38,19154.23,113493.69,-618,-618.05,-0.03
002639,雪人集团,2025-05-27,2,2,3.00,36.79,21.43,16.12,10.13,11.11,10.13,10.33,10.34,1900,19646.76,93846.93,2025-05-29,sell_t1_close,3,11.33,11.32,21489.72,95554.17,1843,1842.96,0.09
002471,中超控股,2025-05-28,9,3,9.00,38.67,21.51,27.76,5.70,6.03,5.31,5.81,5.82,3400,19782.48,74064.45,2025-05-30,sell_drop7,3,5.45,5.45,18497.21,74357.83,-1285,-1285.27,-0.06
002639,雪人集团,2025-05-29,12,1,2.00,39.26,37.50,36.79,11.35,11.86,10.62,11.58,11.58,1700,19695.74,75858.43,2025-05-30,sell_t1_close,2,11.67,11.66,19804.25,94162.08,109,108.51,0.01
603011,合锻智能,2025-05-29,11,5,11.00,16.09,26.58,25.73,17.81,19.59,17.89,18.17,18.18,1100,19997.81,55860.62,2025-05-30,sell_t1_close,2,20.40,20.39,22401.35,116563.44,2404,2403.54,0.12
603686,福龙马,2025-06-03,63,9,18.00,30.29,30.02,16.85,17.64,18.54,16.43,17.99,18.00,1100,19806.98,96756.46,2025-06-04,sell_drop7,2,15.75,15.74,17294.02,114050.48,-2513,-2512.95,-0.13
002104,恒宝股份,2025-06-06,7,4,39.00,33.11,30.49,27.63,10.48,11.17,10.07,10.69,10.69,1800,19255.90,94794.58,2025-06-10,sell_drop7,3,11.06,11.05,19873.15,114667.73,617,617.25,0.03
600366,宁波韵升,2025-06-13,7,2,4.00,34.08,20.28,14.47,10.52,11.58,10.65,10.73,10.74,1800,19329.38,95338.35,2025-06-16,sell_t1_close,2,11.55,11.54,20753.83,116092.18,1424,1424.45,0.07
002878,元隆雅图,2025-06-16,6,3,4.00,19.56,23.29,9.98,24.93,27.42,25.00,25.43,25.44,700,17813.92,98278.26,2025-06-17,sell_drop7,2,25.14,25.13,17566.61,115844.87,-247,-247.31,-0.01
300468,四方精创,2025-06-17,7,2,23.00,74.47,56.23,47.71,36.68,41.95,35.60,37.78,37.80,500,18904.65,96940.22,2025-06-18,sell_t1_close,2,38.80,38.78,19365.91,116306.13,461,461.26,0.02
601606,长城军工,2025-06-20,2,1,14.00,19.95,21.92,8.94,16.69,18.36,16.50,17.02,17.03,1100,18740.54,97565.59,2025-06-24,sell_t1_close,3,20.29,20.28,22280.53,119846.12,3540,3539.99,0.19
002104,恒宝股份,2025-06-24,5,2,8.00,54.79,44.10,37.20,16.17,17.76,15.85,16.49,16.50,1200,19806.98,100039.15,2025-06-25,sell_t1_close,2,16.63,16.62,19921.08,100281.83,114,114.10,0.01
600110,诺德股份,2025-06-24,2,5,5.00,27.60,25.56,6.74,5.67,6.24,5.52,5.78,5.79,3400,19678.39,80360.75,2025-06-26,sell_t1_close,3,7.20,7.20,24438.29,106082.65,4760,4759.90,0.24
002074,国轩高科,2025-06-25,8,1,42.00,88.52,49.70,30.58,30.43,33.48,30.97,31.04,31.05,600,18637.47,81644.36,2025-06-26,sell_t1_close,2,32.29,32.27,19339.95,125422.60,702,702.48,0.04
600110,诺德股份,2025-06-26,1,6,2.00,42.06,31.06,27.60,6.86,7.55,6.58,7.00,7.00,2800,19606.96,105815.64,2025-06-27,sell_t1_close,2,6.82,6.82,19062.37,105483.32,-545,-544.59,-0.03
600095,湘财股份,2025-06-26,52,7,17.00,38.69,24.84,19.80,10.00,10.80,9.99,10.20,10.21,1900,19394.69,86420.95,2025-06-27,sell_t1_close,2,10.33,10.32,19592.57,125075.89,198,197.88,0.01
002987,京北方,2025-06-27,18,8,12.00,41.49,25.79,18.05,20.03,22.03,20.11,20.43,20.44,900,18401.73,106674.16,2025-06-30,sell_t1_close,2,20.85,20.84,18731.86,125406.02,330,330.13,0.02
002104,恒宝股份,2025-06-30,7,2,6.00,57.64,61.37,52.73,19.15,20.44,18.61,19.53,19.54,1000,19547.77,105858.25,2025-07-01,sell_t1_close,2,19.12,19.11,19086.33,124944.58,-461,-461.44,-0.02
600967,内蒙一机,2025-07-01,28,4,12.00,53.94,37.93,35.24,19.28,20.57,18.33,19.67,19.68,1000,19680.43,105264.15,2025-07-02,sell_drop7,2,17.31,17.30,17279.04,83632.37,-2401,-2401.39,-0.12
600435,北方导航,2025-07-01,87,5,41.00,36.12,34.26,35.70,15.59,16.18,14.71,15.90,15.91,1200,19096.70,86167.45,2025-07-02,sell_t1_close,2,14.11,14.10,16901.61,100533.98,-2195,-2195.09,-0.11
002263,大东南,2025-07-01,12,9,17.00,33.22,24.25,9.65,4.13,4.54,4.07,4.21,4.21,4700,19814.12,66353.33,2025-07-02,sell_t1_close,2,3.92,3.92,18391.37,118925.35,-1423,-1422.75,-0.07
002549,凯美特气,2025-07-03,19,8,7.00,29.90,22.16,4.92,12.46,13.70,12.43,12.71,12.72,1500,19078.33,99847.02,2025-07-04,sell_drop7,2,11.93,11.92,17863.17,117710.19,-1215,-1215.17,-0.06
600571,信雅达,2025-07-10,73,5,32.00,38.55,31.91,37.10,21.72,23.71,20.85,22.15,22.17,900,19953.93,97756.26,2025-07-11,sell_t1_close,2,21.13,21.12,18983.48,116739.74,-970,-970.45,-0.05
002640,跨境通,2025-07-11,11,2,2.00,40.72,40.91,24.11,6.00,6.42,5.53,6.12,6.12,3200,19598.79,97140.95,2025-07-14,sell_t1_close,2,5.63,5.63,17983.99,115124.94,-1615,-1614.81,-0.08
600111,北方稀土,2025-07-14,4,2,1.00,144.71,100.49,78.43,29.71,31.90,29.71,30.30,30.32,600,18196.61,96928.32,2025-07-15,sell_t1_close,2,29.00,28.99,17368.91,74551.64,-828,-827.70,-0.05
600010,包钢股份,2025-07-14,17,4,38.00,63.21,28.63,23.82,2.09,2.29,2.10,2.13,2.13,9300,19840.65,77087.67,2025-07-15,sell_t1_close,2,2.03,2.03,18845.69,93397.33,-995,-994.96,-0.05
601696,中银证券,2025-07-14,87,9,13.00,56.60,23.13,23.08,13.00,13.96,12.79,13.26,13.27,1500,19904.94,57182.73,2025-07-15,sell_t1_close,2,12.38,12.37,18537.15,111934.48,-1368,-1367.79,-0.07
002229,鸿博股份,2025-07-18,15,3,2.00,39.27,33.47,12.51,20.56,21.31,19.50,20.97,20.98,900,18888.52,93045.96,2025-07-21,sell_t1_close,2,19.41,19.40,17437.81,110483.77,-1451,-1450.71,-0.08
600585,海螺水泥,2025-07-23,7,4,11.00,58.41,71.53,42.77,26.93,27.76,24.81,27.47,27.48,700,19242.63,91241.13,2025-07-24,sell_t1_close,2,25.00,24.99,17468.76,108709.89,-1774,-1773.88,-0.09
600010,包钢股份,2025-07-25,12,3,40.00,83.86,65.69,63.52,2.52,2.64,2.43,2.57,2.57,7700,19806.98,88902.92,2025-07-28,sell_t1_close,2,2.52,2.52,19369.90,88286.24,-437,-437.07,-0.02
000657,中钨高新,2025-07-25,7,8,46.00,48.28,36.57,30.76,17.80,19.58,18.00,18.16,18.17,1100,19986.59,68916.33,2025-07-28,sell_t1_close,2,18.01,18.00,19776.29,108062.53,-210,-210.29,-0.01
002570,贝因美,2025-07-31,6,2,10.00,38.51,29.18,34.09,7.39,8.07,7.25,7.54,7.54,2600,19613.08,88449.45,2025-08-01,sell_t1_close,2,7.81,7.81,20270.55,108720.00,657,657.47,0.03
000558,天府文旅,2025-08-04,15,4,13.00,26.95,23.01,24.58,7.37,7.91,6.99,7.52,7.52,2600,19560.01,89159.99,2025-08-05,sell_t1_close,2,7.32,7.32,18998.46,108158.45,-562,-561.55,-0.03
002097,山河智能,2025-08-05,2,3,7.00,59.44,23.60,44.04,15.61,17.17,15.50,15.92,15.93,1200,19121.19,89037.26,2025-08-06,sell_t1_close,2,17.50,17.49,20963.51,110000.77,1842,1842.32,0.10
002097,山河智能,2025-08-06,6,2,3.00,65.01,59.44,23.60,17.17,18.88,16.50,17.51,17.52,1100,19279.37,90721.39,2025-08-07,sell_drop7,2,15.75,15.74,17294.02,90576.02,-1985,-1985.35,-0.10
601606,长城军工,2025-08-06,3,3,1.00,19.47,37.84,34.96,42.71,46.98,43.11,43.56,43.59,400,17439.39,73282.00,2025-08-08,sell_t1_close,3,51.88,51.85,20715.88,111291.91,3276,3276.49,0.19
002611,东方精工,2025-08-08,12,3,5.00,60.37,54.94,30.84,17.20,18.35,16.85,17.54,17.55,1100,19313.05,76151.87,2025-08-11,sell_t1_close,2,16.81,16.80,18458.27,75488.95,-855,-854.78,-0.04
600203,福日电子,2025-08-08,8,7,7.00,35.87,26.59,29.77,15.61,16.28,14.63,15.92,15.93,1200,19121.19,57030.68,2025-08-11,sell_t1_close,2,15.76,15.75,18878.64,94367.59,-243,-242.55,-0.01
601606,长城军工,2025-08-08,4,1,3.00,73.80,66.53,19.47,51.68,55.17,50.00,52.71,52.74,300,15826.99,95464.92,2025-08-12,sell_t1_close,3,61.65,61.62,18462.27,93812.76,2635,2635.28,0.17
002046,国机精工,2025-08-11,49,9,21.00,35.83,39.46,11.66,31.05,32.30,29.69,31.67,31.69,600,19017.10,75350.49,2025-08-12,sell_t1_close,2,31.35,31.33,18776.79,112589.55,-240,-240.31,-0.01
600410,华胜天成,2025-08-12,4,2,29.00,60.63,57.42,47.64,14.20,15.62,13.67,14.48,14.49,1300,18843.61,93745.94,2025-08-13,sell_t1_close,2,16.19,16.18,21010.44,114756.38,2167,2166.83,0.11
600203,福日电子,2025-08-13,6,5,28.00,48.28,48.79,38.53,17.34,19.07,16.86,17.69,17.70,1100,19470.21,57917.34,2025-08-14,sell_drop7,2,17.40,17.39,19106.30,39341.51,-364,-363.91,-0.02
600619,海立股份,2025-08-13,8,7,11.00,43.44,38.13,32.43,22.98,25.28,22.50,23.44,23.45,800,18766.06,39151.28,2025-08-14,sell_drop7,2,22.75,22.74,18167.71,57509.22,-598,-598.35,-0.03
002104,恒宝股份,2025-08-13,4,3,47.00,68.01,55.56,47.27,22.33,24.56,22.64,22.78,22.79,800,18235.39,96520.98,2025-08-15,sell_t1_close,3,29.01,29.00,23168.20,48994.87,4933,4932.81,0.27
600410,华胜天成,2025-08-13,7,4,2.00,86.36,60.63,57.42,15.62,17.07,15.26,15.93,15.94,1200,19133.44,77387.55,2025-08-15,sell_t1_close,3,18.80,18.79,22521.17,71516.04,3388,3387.73,0.18
002173,创新医疗,2025-08-13,12,9,44.00,31.96,31.60,27.39,20.59,22.65,20.66,21.00,21.01,900,18916.07,20235.21,2025-08-15,sell_t1_close,3,26.67,26.66,23962.01,95478.05,5046,5045.94,0.27
601606,长城军工,2025-08-14,3,1,2.00,85.85,44.72,78.79,67.82,73.25,61.05,69.18,69.21,200,13847.20,43662.02,2025-08-15,sell_t1_close,2,60.26,60.23,12028.93,107506.98,-1818,-1818.27,-0.13
601138,工业富联,2025-08-14,15,2,11.00,106.50,100.24,85.51,43.68,45.78,42.98,44.55,44.58,400,17835.35,25826.67,2025-08-15,sell_t1_close,2,44.86,44.84,17912.09,125419.07,77,76.74,0.00
002104,恒宝股份,2025-08-15,5,4,4.00,88.75,52.84,68.01,27.02,29.72,27.48,27.56,27.57,700,19306.93,86114.33,2025-08-18,sell_t1_close,2,30.50,30.48,21312.99,107427.32,2006,2006.06,0.10
600580,卧龙电驱,2025-08-18,7,2,1.00,112.53,101.16,70.76,30.38,33.29,30.90,30.99,31.00,600,18606.86,88820.46,2025-08-19,sell_t1_close,2,34.00,33.98,20364.41,109184.87,1758,1757.55,0.09
600410,华胜天成,2025-08-15,8,2,7.00,84.79,60.71,86.36,17.81,19.45,17.82,18.17,18.18,1100,19997.81,105421.26,2025-08-20,sell_drop7,4,21.09,21.08,23159.21,132344.09,3161,3161.40,0.16
002131,利欧股份,2025-08-20,6,4,3.00,118.93,52.64,48.57,4.88,5.37,4.90,4.98,4.98,4000,19925.36,112418.73,2025-08-21,sell_drop7,2,4.71,4.71,18806.75,111267.47,-1119,-1118.61,-0.06
002600,领益智造,2025-08-20,5,5,10.00,89.09,72.97,46.70,12.22,13.28,11.99,12.46,12.47,1600,19958.01,92460.72,2025-08-21,sell_drop7,2,12.14,12.13,19389.87,130657.34,-568,-568.14,-0.03
002402,和而泰,2025-08-26,15,5,10.00,93.68,28.08,62.38,39.75,42.10,39.44,40.54,40.57,400,16231.11,114426.23,2025-08-27,sell_t1_close,2,38.59,38.57,15407.85,129834.09,-823,-823.26,-0.05
002261,拓维信息,2025-08-27,5,3,9.00,157.17,52.05,95.20,40.27,43.50,40.77,41.08,41.10,400,16443.38,113390.71,2025-08-28,sell_t1_close,2,44.10,44.08,17608.55,112303.62,1165,1165.17,0.07
600118,中国卫星,2025-08-27,34,8,11.00,54.75,42.40,26.40,36.63,38.48,35.70,37.36,37.38,500,18695.64,94695.07,2025-08-28,sell_t1_close,2,38.90,38.88,19415.83,131719.45,720,720.19,0.04
002195,岩山科技,2025-08-28,2,2,44.00,127.13,84.95,43.38,7.32,8.05,7.35,7.47,7.47,2600,19427.35,112292.11,2025-08-29,sell_t1_close,2,8.55,8.55,22191.67,134483.77,2764,2764.32,0.14
002195,岩山科技,2025-08-29,3,2,2.00,136.85,127.13,84.95,8.05,8.68,8.15,8.21,8.22,2400,19721.25,114762.52,2025-09-01,sell_t1_close,2,8.88,8.88,21275.04,136037.56,1554,1553.79,0.08
601138,工业富联,2025-09-01,9,1,14.00,147.93,173.72,162.67,53.83,56.96,52.30,54.91,54.93,300,16485.22,119552.35,2025-09-02,sell_t1_close,2,53.88,53.85,16134.76,117827.27,-350,-350.45,-0.02
000831,中国稀土,2025-09-01,43,5,7.00,101.96,52.01,86.53,58.32,60.45,56.13,59.49,59.52,300,17859.84,101692.50,2025-09-02,sell_t1_close,2,61.56,61.53,18435.31,136262.57,575,575.46,0.03
