code,name,entry_date,rank_t_minus_2,rank_t1,rank_t,rank_t_plus_1,open_T,high_T,low_T,close_T,is_limit_up_open,buy_price,buy_exec,buy_shares,buy_cost,cash_after_buy,exit_date,exit_reason,hold_days,rank_exit,close_exit,is_limit_up_exit,sell_price,sell_exec,sell_proceed,cash_after_sell,gross_pnl,net_pnl,net_pnl_pct
600117,西宁特钢,2025-07-31,5.0,5,14,34,4.27,4.52,4.01,4.46,False,4.27,4.272135,4600,19657.716546299995,15964.237796950798,2025-08-01,not_limit_up,2,34,4.6,False,4.6,4.5977,21121.925754,91313.4138622008,1464,1464.2092077000052,0.07448521318594356
300149,睿智医药,2025-08-01,119.0,7,211,384,14.0,14.66,13.26,13.3,False,14.0,14.007,1400,19615.68294,71697.7309222008,2025-08-04,not_limit_up_and_rank_drop,2,384,13.19,False,13.02,13.013490000000001,18195.2014482,33853.12797115081,-1420,-1420.4814917999975,-0.0724156021559348
001221,悍高集团,2025-08-01,5.0,5,112,160,57.25,64.72,57.24,59.26,False,57.25,57.278625,300,17188.74257625,54508.988345950806,2025-08-04,not_limit_up_and_rank_drop,2,160,52.61,False,59.26,59.23037,17746.011155700002,51599.139126850816,557,557.268579450003,0.032420555312754014
300528,幸福蓝海,2025-08-01,7.0,7,86,96,24.0,24.6,20.71,21.35,False,24.0,24.012,800,19215.362879999997,35293.62546595081,2025-08-04,not_limit_up_and_rank_drop,2,96,18.93,False,20.8,20.7896,16610.04832,68209.18744685082,-2605,-2605.3145599999953,-0.1355849783462427
000558,天府文旅,2025-08-01,10.0,10,4,15,6.54,7.37,6.54,7.37,False,6.54,6.54327,3000,19635.698943,15657.926522950813,2025-08-04,not_limit_up,2,15,7.03,False,7.03,7.026485000000001,21052.051708500003,89261.23915535082,1416,1416.3527655000034,0.07213151768172348
600895,张江高科,2025-08-04,78.0,11,132,9,31.78,32.09,31.25,31.93,False,31.78,31.79589,600,19083.2572602,70177.98189515082,2025-08-05,not_limit_up,2,9,33.95,False,33.95,33.93302500000001,20333.347240500007,33541.78139705083,1250,1250.0899803000066,0.06550715966645755
002272,川润股份,2025-08-04,3.0,3,100,61,12.25,12.77,12.06,12.53,False,12.25,12.256124999999999,1600,19615.68294,32898.17630765082,2025-08-05,not_limit_up_and_rank_drop,2,61,13.07,False,12.54,12.53373,20027.8978416,53569.67923865083,412,412.2149016000003,0.021014557732242808
601360,三六零,2025-08-04,7.0,7,190,245,10.93,11.12,10.84,11.01,False,10.93,10.935464999999999,1800,19689.7421511,13208.434156550822,2025-08-05,not_limit_up_and_rank_drop,2,245,10.86,False,11.01,11.004495,19782.3404817,73352.01972035083,93,92.59833060000165,0.004702871672437239
301171,易点天下,2025-08-05,23.0,8,207,323,33.19,33.54,31.76,32.81,False,33.19,33.20659499999999,600,19929.934187099996,53422.085533250836,2025-08-06,not_limit_up_and_rank_drop,2,323,32.73,False,32.48,32.46376,19452.934267200002,20423.267029200837,-477,-476.999919899994,-0.023933843203995157
300724,捷佳伟创,2025-08-05,5.0,5,252,351,69.67,70.0,66.66,67.93,False,69.67,69.704835,200,13945.967,39476.11853325083,2025-08-06,not_limit_up_and_rank_drop,2,351,66.8,False,67.34,67.30633,13442.804734,33866.07176320084,-503,-503.1622660000012,-0.0360794103413554
002097,山河智能,2025-08-05,7.0,7,2,6,16.0,17.17,15.5,17.17,False,16.0,16.008,1200,19215.362879999997,20260.755653250835,2025-08-06,not_limit_up,2,6,17.5,False,17.5,17.49125,20962.21365,54828.285413200836,1747,1746.8507700000046,0.09090907004510367
002370,亚太药业,2025-08-05,8.0,8,76,151,7.71,7.85,7.4,7.43,False,7.71,7.713855,2500,19290.42289125,970.3327620008349,2025-08-06,not_limit_up_and_rank_drop,2,151,7.17,False,7.4,7.396300000000001,18466.712025000004,73294.99743820084,-824,-823.7108662499959,-0.042700508479968334
601606,长城军工,2025-08-04,1.0,1,1,4,35.3,38.83,35.3,38.83,False,35.3,35.31764999999999,500,17664.122647499997,52513.85924765082,2025-08-08,not_limit_up,5,4,51.88,False,51.88,51.854060000000004,25893.324861,28160.150458950848,8229,8229.202213500004,0.46587098480459677
601989,中国重工,2025-08-07,95.0,1,27,113,5.57,5.57,5.13,5.21,False,5.57,5.572785,3500,19510.598924249996,53784.398513950844,2025-08-08,not_limit_up_and_rank_drop,2,113,5.15,False,5.11,5.107445,17852.81862525,46012.96908420085,-1658,-1657.7802989999946,-0.08496819115785914
600150,中国船舶,2025-08-07,68.0,4,44,83,40.0,40.1,38.12,38.6,False,40.0,40.019999999999996,400,16012.999999999998,37771.398513950844,2025-08-08,not_limit_up_and_rank_drop,2,83,38.99,False,38.5,38.48075,15371.9077,61384.87678420085,-641,-641.0922999999984,-0.040035739711484324
002611,东方精工,2025-08-07,155.0,5,3,12,16.2,17.2,16.0,17.2,False,16.2,16.208099999999998,1200,19455.554915999997,18315.843597950847,2025-08-08,not_limit_up,2,12,16.91,False,16.91,16.901545000000002,20255.487589800003,81640.36437400086,800,799.9326738000054,0.0411159012042443
002190,成飞集成,2025-08-07,551.0,14,131,278,40.09,40.8,38.0,38.05,False,40.09,40.110045,400,16049.018,2266.8255979508467,2025-08-08,not_limit_up_and_rank_drop,2,278,37.1,False,37.39,37.371305,14928.573477999998,96568.93785200085,-1120,-1120.4445220000016,-0.06981389901861919
300166,东方国信,2025-08-08,8.0,8,193,126,12.02,12.22,11.45,11.63,False,12.02,12.02601,1600,19247.388484799998,77321.54936720085,2025-08-11,not_limit_up_and_rank_drop,2,126,12.23,False,11.65,11.644175,18606.460116000002,57695.44215290085,-641,-640.928368799996,-0.03329949771139853
002896,中大力德,2025-08-08,11.0,11,78,158,99.01,99.05,95.39,96.02,False,99.01,99.059505,200,19817.844570300003,57503.70479690084,2025-08-11,not_limit_up_and_rank_drop,2,158,97.07,False,95.5,95.45225,19065.632415,76761.07456790085,-752,-752.2121553000034,-0.03795630511843379
