code,name,entry_date,rank_t,rank_t1,rank_t2,amount_t,amount_t1,amount_t2,prev_close,trigger_low,buy_price,buy_exec,buy_shares,buy_cost,cash_after_buy,exit_date,exit_reason,hold_days,sell_price,sell_exec,sell_proceed,cash_after_sell,gross_pnl,net_pnl,net_pnl_pct
002882,金龙羽,2025-07-01,84,35,4,22.5172261508,26.641167889200002,22.7535387882,39.5,35.6,36.735,36.753367499999996,200,7355.673499999999,84820.05042900005,2025-07-02,sell_t1_close,2,34.76,34.74262,6936.575476,91957.64424300006,-419.098023999999,-419.098023999999,-0.056976159151163934
002987,京北方,2025-07-01,115,100,18,26.1520996458,31.9412031084,41.4866458135,20.85,18.77,19.3905,19.40019525,500,9705.097625,75114.95280400006,2025-07-02,sell_t1_close,2,19.63,19.620185,9795.282407499999,101752.92665050006,90.18478249999862,90.18478249999862,0.00929251677671801
003040,楚天龙,2025-07-02,82,65,88,17.7224489454,28.4218714935,23.484998203099998,25.24,22.72,23.4732,23.484936599999997,400,9398.974639999999,82555.80788550005,2025-07-03,sell_t1_close,2,23.8,23.788100000000004,9500.724760000001,92056.53264550005,101.75012000000243,101.75012000000243,0.010825661723458214
002263,大东南,2025-07-02,81,12,9,26.0544944866,33.2200264085,24.2524052565,4.21,3.83,3.9153,3.9172576499999994,2500,9798.144124999999,91954.78252550005,2025-07-04,sell_t1_close,3,4.42,4.41779,11028.430525,103084.96317050005,1230.2864000000009,1230.2864000000009,0.12556320710377394
000737,北方铜业,2025-07-04,64,56,6,26.007620559699998,33.375233585100005,37.9219460233,12.29,11.27,11.429699999999999,11.435414849999997,800,9153.331879999998,93931.63129050005,2025-07-07,sell_t1_close,2,11.16,11.15442,8909.612464,102841.24375450006,-243.7194159999981,-243.7194159999981,-0.02662630604845917
002987,京北方,2025-07-10,63,12,27,41.243026941,46.85630678890001,42.4891816213,26.72,24.5,24.8496,24.862024799999997,400,9949.809919999998,84676.01067450005,2025-07-11,sell_t1_close,2,24.6,24.5877,9820.24492,94496.25559450005,-129.5649999999987,-129.5649999999987,-0.013021856803471349
002104,恒宝股份,2025-07-10,6,7,26,44.5124926151,38.26046351,37.0347820953,22.06,19.86,20.5158,20.526057899999998,400,8215.423159999998,94625.82059450005,2025-07-14,sell_drop7,3,22.2,22.1889,8861.684439999999,103357.94003450005,646.2612800000006,646.2612800000006,0.07866439347233828
601519,大智慧,2025-07-14,31,7,14,29.40282315,62.27957616,57.69595091,15.82,14.24,14.7126,14.7199563,600,8836.97378,94520.96625450005,2025-07-15,sell_drop7,2,13.2,13.1934,7903.12396,82696.60639950004,-933.8498200000004,-933.8498200000004,-0.10567529600614027
000617,中油资本,2025-07-14,94,41,5,51.140740683999994,74.2266492111,88.04481812780001,9.66,8.87,8.983799999999999,8.988291899999998,1100,9892.121089999999,84628.84516450005,2025-07-15,sell_t1_close,2,8.88,8.875560000000002,9748.352884000002,92444.95928350005,-143.768205999997,-143.768205999997,-0.014533607574348548
600571,信雅达,2025-07-14,146,100,73,18.77735374,25.71227232,38.54585394,21.13,19.57,19.650899999999996,19.660725449999994,500,9835.362724999997,74793.48243950005,2025-07-15,sell_t1_close,2,19.22,19.21039,9590.589805,102035.54908850005,-244.7729199999976,-244.7729199999976,-0.024887025201197923
002366,融发核电,2025-07-15,97,77,99,25.998940414499998,25.9046609811,20.017772278800003,9.44,8.73,8.7792,8.783589599999999,1100,9666.948559999999,92368.60052850004,2025-07-16,sell_t1_close,2,8.5,8.495750000000001,9330.979675,101699.58020350004,-335.9688849999984,-335.9688849999984,-0.03475438841064842
001287,中电港,2025-07-21,179,37,73,19.4565860193,29.224222864,32.5447205752,23.12,21.36,21.5016,21.5123508,400,8609.94032,93089.63988350004,2025-07-22,sell_t1_close,2,20.58,20.56971,8214.656116,101304.29599950004,-395.2842039999996,-395.2842039999996,-0.045910214160462336
000657,中钨高新,2025-07-28,66,7,8,38.0290264243,48.2838350782,36.5710619929,19.08,17.41,17.7444,17.753272199999998,500,8881.6361,92422.65989950004,2025-07-29,sell_t1_close,2,19.0,18.9905,9480.75475,101903.41464950005,599.1186500000003,599.1186500000003,0.06745588799793321
002104,恒宝股份,2025-07-30,48,19,86,36.6089275534,43.5960263839,26.795584241500002,21.45,19.4,19.9485,19.95847425,500,9984.237125,91919.17752450005,2025-07-31,sell_t1_close,2,19.91,19.900045000000002,9935.072477500002,83417.32114200004,-49.164647499997955,-49.164647499997955,-0.004924226747068365
600392,盛和资源,2025-07-30,28,33,4,82.48326534,73.24666785,80.24869702,24.01,21.67,22.3293,22.340464649999998,400,8941.18586,82977.99166450005,2025-07-31,sell_t1_close,2,21.71,21.699145,8665.978342000002,92083.29948400005,-275.20751799999744,-275.20751799999744,-0.0307797558745745
600619,海立股份,2025-07-30,96,85,79,21.01210611,27.57901168,24.09978218,17.0,15.61,15.809999999999999,15.817904999999998,600,9495.742999999999,73482.24866450005,2025-07-31,sell_t1_close,2,15.51,15.502245,9287.045653,101370.34513700004,-208.69734699999935,-208.69734699999935,-0.02197799024257495
600010,包钢股份,2025-07-31,5,1,11,85.81661901,101.91375884,62.08287487,2.92,2.67,2.7156,2.7169577999999994,3600,9786.048079999999,91584.29705700005,2025-08-01,sell_t1_close,2,2.53,2.5287349999999997,9089.342554,91328.63194100006,-696.7055259999979,-696.7055259999979,-0.07119375669366199
002370,亚太药业,2025-07-31,94,38,12,19.6612646332,23.7077973593,12.8538844334,7.17,6.55,6.6681,6.671434049999999,1400,9345.007669999999,82239.28938700006,2025-08-04,sell_t1_close,3,8.09,8.085955,11304.016663,102632.64860400006,1959.0089930000013,1959.0089930000013,0.20963160889519114
002570,贝因美,2025-08-04,39,6,6,25.9024506204,32.6619043116,38.5092506239,7.81,7.06,7.263299999999999,7.266931649999999,1300,9452.011144999999,93180.63745900006,2025-08-05,sell_t1_close,2,7.08,7.076460000000001,9185.198602,102365.83606100007,-266.8125429999982,-266.8125429999982,-0.02822812403698221
000558,天府文旅,2025-08-06,51,31,15,22.5286808668,22.051486827199998,26.9489673831,7.32,6.59,6.8076,6.8110038,1400,9540.40532,92825.43074100006,2025-08-07,sell_drop7,2,5.96,5.95702,8326.488172,101151.91891300006,-1213.9171480000005,-1213.9171480000005,-0.1272395781188886
002097,山河智能,2025-08-07,8,6,2,46.563480113199994,65.0054441,59.441050119799996,17.5,15.75,16.275,16.2831375,600,9774.8825,91377.03641300005,2025-08-11,sell_t1_close,3,17.9,17.89105,10718.895369999998,102095.93178300005,944.0128699999987,944.0128699999987,0.0965753675299932
601606,长城军工,2025-08-14,3,1,2,85.85492599,44.71796396,78.79400428,67.82,61.05,63.07259999999999,63.104136299999986,100,6315.413629999998,95780.51815300006,2025-08-15,sell_t1_close,2,60.26,60.22987,6011.964013,92915.49839100006,-303.4496169999984,-303.4496169999984,-0.0480490486891511
600203,福日电子,2025-08-14,24,6,5,39.47052425,48.28196945,48.794401,19.07,17.17,17.7351,17.743967549999997,500,8876.983774999999,86903.53437800005,2025-08-15,sell_t1_close,2,17.5,17.49125,8731.879375,101647.37776600006,-145.10439999999835,-145.10439999999835,-0.016346137796111763
000901,航天科技,2025-08-15,32,39,20,40.7175761712,51.9684441525,18.2130345436,22.02,19.82,20.478599999999997,20.488839299999995,400,8200.535719999998,93446.84204600006,2025-08-18,sell_t1_close,2,20.7,20.68965,8262.58414,94011.34156600008,62.04842000000281,62.04842000000281,0.007566386162878981
600967,内蒙一机,2025-08-15,67,62,17,62.89350208,77.58378635,41.96875134,27.56,25.19,25.630799999999997,25.643615399999995,300,7698.084619999999,85748.75742600007,2025-08-18,sell_t1_close,2,27.77,27.756115,8313.507665500001,102324.84923150008,615.4230455000024,615.4230455000024,0.07994495720417302
002104,恒宝股份,2025-08-18,11,5,4,85.1380769743,88.7537605044,52.83506814810001,29.01,26.91,26.9793,26.992789649999995,300,8102.836894999999,94222.01233650008,2025-08-19,sell_t1_close,2,28.4,28.3858,8502.224259999999,94371.10461650007,399.3873650000005,399.3873650000005,0.04928981913068615
601138,工业富联,2025-08-18,55,25,15,115.09162414,102.34688715,106.50283436,44.86,41.66,41.7198,41.7406599,200,8353.13198,85868.88035650007,2025-08-20,sell_t1_close,3,47.91,47.886044999999996,9562.631791,68976.63658750008,1209.4998109999997,1209.4998109999997,0.14479596562055036
002837,英维克,2025-08-19,42,9,12,83.8067197732,75.3668867022,67.72254747619999,70.2,64.99,65.286,65.318643,100,6536.864299999999,87834.24031650007,2025-08-20,sell_t1_close,2,69.3,69.26535,6914.608465,75891.24505250007,377.744165000001,377.744165000001,0.057786753352062244
601929,吉视传媒,2025-08-19,61,15,23,34.81518026,36.96990101,36.07845372,4.31,3.88,4.008299999999999,4.010304149999999,2400,9629.729959999997,78204.51035650008,2025-08-20,sell_drop7,2,3.6,3.5982000000000003,8622.04432,84513.28937250008,-1007.685639999996,-1007.685639999996,-0.10464318773067613
000561,烽火电子,2025-08-19,134,29,77,23.6223923845,20.783547046600003,25.5293375633,15.84,14.5,14.7312,14.7385656,600,8848.13936,69356.37099650007,2025-08-20,sell_drop7,2,13.62,13.61319,8154.746086,92668.03545850008,-693.3932739999991,-693.3932739999991,-0.07836599829503581
002173,创新医疗,2025-08-19,86,66,11,37.902521521,46.5685902862,46.8676108164,26.7,24.68,24.830999999999996,24.843415499999995,400,9942.366199999999,59414.00479650008,2025-08-20,sell_drop7,2,23.05,23.038475000000002,9201.174610000002,101869.21006850008,-741.1915899999967,-741.1915899999967,-0.07454881213287003
600410,华胜天成,2025-08-20,2,3,5,101.47849244,91.34776232,33.56599386,22.75,20.48,21.1575,21.16807875,400,8472.2315,93396.97856850008,2025-08-21,sell_t1_close,2,20.39,20.379805,8138.7700780000005,83460.77067150008,-333.4614219999994,-333.4614219999994,-0.03935933785567585
002939,长城证券,2025-08-20,87,33,13,50.2261974159,72.7203051111,32.6509927087,13.7,12.36,12.740999999999998,12.747370499999997,700,8928.159349999998,84468.81921850008,2025-08-21,sell_t1_close,2,11.87,11.864065,8291.540654499999,91752.31132600008,-636.6186954999994,-636.6186954999994,-0.0713045848022414
002536,飞龙股份,2025-08-20,132,48,12,35.9412917832,50.6149263825,31.9692001398,32.75,29.73,30.4575,30.472728749999998,300,9146.818625,75322.00059350008,2025-08-21,sell_drop7,2,28.91,28.895545000000002,8654.9948365,100407.30616250008,-491.82378849999986,-491.82378849999986,-0.05376992905005809
600111,北方稀土,2025-08-26,7,2,2,203.01734056,227.78383405,185.94150613,52.69,48.7,49.00169999999999,49.02620084999999,200,9810.240169999997,90597.06599250008,2025-08-27,sell_t1_close,2,53.46,53.43327,10670.967346000001,91275.42202850008,860.727176000004,860.727176000004,0.08773762528588576
002190,成飞集成,2025-08-26,38,14,12,56.8879722444,35.3680992386,45.5182120775,53.67,49.82,49.9131,49.93805655,200,9992.61131,80604.45468250007,2025-08-27,sell_drop7,2,51.1,51.074450000000006,10199.675110000002,101475.09713850007,207.06380000000172,207.06380000000172,0.020721690614823055
002217,合力泰,2025-08-28,83,10,13,34.8736715386,45.2087061121,29.7959408482,3.9,3.6,3.627,3.6288134999999997,2700,9802.79645,91672.30068850008,2025-08-29,sell_drop7,2,3.51,3.508245,9457.789238500001,101130.08992700008,-345.00721149999845,-345.00721149999845,-0.035194774599241876
600118,中国卫星,2025-09-01,107,61,21,38.67472531,54.27244709,59.22026857,39.64,36.33,36.8652,36.8836326,200,7381.72652,93748.36340700008,2025-09-02,sell_t1_close,2,35.66,35.64217,7116.305566,100864.66897300008,-265.42095400000017,-265.42095400000017,-0.0359564870468813
002195,岩山科技,2025-09-02,10,2,3,102.9709228751,138.3746860287,136.8459016449,8.88,8.17,8.2584,8.2625292,1200,9920.035039999999,90944.63393300008,2025-09-03,sell_t1_close,2,9.02,9.01549,10802.769412,59941.733450000094,882.7343720000008,882.7343720000008,0.08898500544006152
601606,长城军工,2025-09-02,19,7,6,65.62218105,77.20594136,74.61975627,70.7,65.3,65.751,65.78387550000001,100,6583.38755,84361.24638300008,2025-09-03,sell_drop7,2,65.18,65.14741000000001,6503.226259000001,66444.95970900009,-80.16129099999944,-80.16129099999944,-0.012176298355699784
