code,name,signal_date,entry_date,signal_rank,signal_close,entry_condition,buy_price,buy_exec,buy_shares,buy_cost,exit_date,exit_rank,exit_reason,sell_price,sell_exec,sell_proceed,hold_days,net_pnl,net_pnl_pct
002506,协鑫集成,2025-11-11,2025-12-02,6,2.96,gap_down_open,2.61,2.6113049999999998,127600,333302.4787554,2025-12-03,1007,rank_drop_below_50,2.53,2.5287349999999997,322247.11943819997,2,-11055.359317200026,-0.03316914821180553
600408,安泰集团,2025-11-12,2025-12-02,4,5.17,gap_down_open,4.55,4.552275,73200,333326.49795899994,2025-12-04,75,rank_drop_below_50,5.2,5.1974,379955.095416,3,46628.597457000054,0.13988866094508784
002451,摩恩电气,2025-11-11,2025-12-01,10,12.55,gap_down_open,10.66,10.665329999999999,31200,332858.12348879996,2025-12-02,180,rank_drop_below_50,11.02,11.01449,343205.3402856,2,10347.216796800029,0.031085967463696865
601888,中国中免,2025-11-10,2025-12-01,1,86.64,gap_down_open,78.77,78.80938499999999,4200,331098.71682509995,2025-12-02,194,rank_drop_below_50,83.17,83.128415,348685.4618541,2,17586.74502900004,0.05311631889618614
600745,闻泰科技,2025-11-07,2025-12-01,1,45.0,gap_down_open,40.8,40.82039999999999,8100,330744.43357199995,2025-12-02,178,rank_drop_below_50,40.0,39.980000000000004,323417.0106000001,2,-7327.422971999855,-0.02215433497357634
002709,天赐材料,2025-11-07,2025-11-28,7,43.71,gap_down_open,40.48,40.50024,8200,332201.5985904,2025-12-01,124,rank_drop_below_50,42.39,42.368805,346972.54953869997,2,14770.950948299957,0.04446381658299103
002196,方正电机,2025-11-07,2025-11-28,9,14.11,gap_down_open,13.49,13.496744999999999,24600,332119.53297809995,2025-12-01,450,rank_drop_below_50,13.13,13.123435,322416.8135487,2,-9702.719429399935,-0.029214540145820735
601600,中国铝业,2025-11-06,2025-11-28,4,10.86,gap_down_open,10.39,10.395195,32000,332746.033872,2025-12-01,251,rank_drop_below_50,10.69,10.684655,341464.478352,2,8718.444480000006,0.026201497816661572
601179,中国西电,2025-11-06,2025-11-27,5,9.78,gap_down_open,8.24,8.24412,40400,333162.36673440004,2025-11-28,240,rank_drop_below_50,8.33,8.325835,335926.46114579996,2,2764.094411399914,0.008296538527124446
002050,三花智控,2025-11-06,2025-11-27,3,50.36,gap_down_open,43.2,43.2216,7700,332906.16189600003,2025-11-28,101,rank_drop_below_50,42.98,42.95851,330350.5123149,2,-2555.649581100035,-0.007676786655269002
000559,万向钱潮,2025-11-06,2025-11-27,8,13.86,gap_down_open,11.81,11.815904999999999,28200,333308.48355629994,2025-11-28,229,rank_drop_below_50,12.53,12.523735,352710.20687490003,2,19401.723318600096,0.058209509435792395
603530,神马电力,2025-11-05,2025-11-26,8,48.75,gap_down_open,40.08,40.10003999999999,8300,332930.1810995999,2025-11-27,1849,rank_drop_below_50,39.5,39.480250000000005,327260.08310250007,2,-5670.09799709986,-0.01703089211789899
600550,保变电气,2025-11-05,2025-11-26,9,9.91,gap_down_open,9.68,9.68484,34400,333258.44354879996,2025-11-27,811,rank_drop_below_50,9.3,9.295350000000001,319344.351948,2,-13914.091600799933,-0.04175165511976729
